KIC,T1,e_T1,T2,e_T2,R1_D,e_R1_D,R2_R1,e_R2_R1,T2_T1,Qual,Src,KIS,T1j,T2j,R2_R1j,T1k1,T2k1,R2_R1k1,Simbad,_RA,_DE
1026032.0,6150.0,359.0,4863.0,556.0,2.03e-11,1.98e-12,0.562,0.209,0.785,b'00000',b'1100',1.0,6129.0,4835.0,0.579,6201.0,4908.0,0.526,b'Simbad',291.04407,36.729271
1026957.0,4777.0,352.0,4249.0,642.0,8.65e-11,4.84e-12,0.517,0.223,0.7,b'00010',b'1100',1.0,4755.0,4545.0,0.415,4897.0,3920.0,0.749,b'Simbad',291.25449,36.74361
1433410.0,5930.0,375.0,6033.0,650.0,2.74e-11,2.25e-12,0.649,0.2,0.7,b'00010',b'1110',2.0,5900.0,6041.0,0.677,5991.0,6055.0,0.594,b'Simbad',291.63776,37.082272
1433980.0,6870.0,371.0,5484.0,558.0,1.55e-11,2.01e-12,0.966,0.221,0.781,b'00000',b'1110',2.0,6880.0,5463.0,1.197,6953.0,5527.0,0.769,b'Simbad',291.76633,37.097191
1571511.0,5946.0,364.0,6024.0,685.0,3.53e-11,2.79e-12,0.591,0.218,0.7,b'00010',b'1110',2.0,5861.0,5938.0,0.576,6039.0,6121.0,0.674,b'Simbad',290.99692,37.199219
1572353.0,4709.0,356.0,4458.0,557.0,2.64e-11,3.4e-12,0.663,0.306,0.943,b'00000',b'0100',1.0,3910.0,3795.0,0.87,4709.0,4458.0,0.663,b'Simbad',291.1886,37.161629
1575690.0,4207.0,371.0,3776.0,570.0,3.07e-11,3.82e-12,0.756,0.308,0.875,b'00000',b'0100',2.0,3927.0,3835.0,0.9,4207.0,3776.0,0.756,b'Simbad',291.8819,37.18911
1722276.0,5567.0,352.0,4639.0,593.0,2.58e-11,1.88e-12,0.696,0.176,0.7,b'00010',b'1111',3.0,5573.0,3811.0,0.69,5613.0,5221.0,0.801,b'Simbad',291.69672,37.238041
1725193.0,6045.0,355.0,5988.0,555.0,2.14e-11,2.26e-12,0.691,0.225,0.978,b'00000',b'1100',1.0,5983.0,5902.0,0.625,6195.0,6076.0,0.79,b'Simbad',292.29431,37.26173
1868650.0,31302.0,2247.0,31311.0,2499.0,6.9e-12,2.59e-12,0.898,0.16,0.999,b'10001',b'1100',1.0,33028.0,33860.0,0.938,28590.0,28981.0,0.828,b'Simbad',291.53937,37.335602
1873513.0,3539.0,351.0,4035.0,543.0,4.33e-11,2.6e-12,0.615,0.183,0.7,b'00010',b'1100',1.0,3534.0,3949.0,0.71,3549.0,4095.0,0.604,b'Simbad',292.57986,37.376411
