KIC,T1,e_T1,T2,e_T2,R1_D,e_R1_D,R2_R1,e_R2_R1,T2_T1,Qual,Src,KIS,T1j,T2j,R2_R1j,T1k1,T2k1,R2_R1k1,Simbad,_RA,_DE,V1,V2,V3b,PapIV,HB,DV,Per,e_Per,BJD0,e_BJD0,Morph,GLON,GLAT,Kpmag,Teff,SC,LC,TS,_RA.icrs,_DE.icrs
10000490,6558.0,1669.0,6921.0,1529.0,6.24e-11,8.72e-12,0.776,0.388,0.713,b'11000',b'1000',2.0,6558.0,6921.0,0.776,7763.0,6180.0,0.718,b'Simbad',286.556,46.95734,1.0,1.0,1.0,1.0,0.0,b'',1.4009912,1.7e-06,54954.243656,0.028582,0.56,77.482,17.1031,11.244,,b'True',b'LC',b'TS',286.5558,46.9574
10007533,7142.0,397.0,6932.0,605.0,1.95e-11,2.54e-12,0.947,0.258,0.937,b'00100',b'1110',2.0,9394.0,6961.0,1.753,7038.0,6810.0,0.674,b'Simbad',290.09952,46.987179,1.0,1.0,1.0,1.0,0.0,b'',0.6480635,6e-07,54965.039252,0.039454,0.87,78.4869,14.8865,13.875,6808.0,b'False',b'LC',b'TS',290.0994,46.9872
10014830,4916.0,356.0,4147.0,576.0,2.91e-11,3.14e-12,0.786,0.262,0.811,b'00000',b'1100',1.0,5050.0,4702.0,0.658,4763.0,3953.0,0.894,b'Simbad',293.1763,46.922379,1.0,1.0,1.0,1.0,0.0,b'DV',3.0305267,5.2e-06,54967.124438,0.091901,0.61,79.3414,12.9562,14.827,4324.0,b'True',b'LC',b'TS',293.176,46.9224
10020423,5881.0,352.0,3985.0,678.0,1.97e-11,1.7e-12,0.355,0.19,0.433,b'00000',b'1100',1.0,5873.0,3876.0,0.323,5982.0,4378.0,0.458,b'Simbad',295.29791,46.920471,1.0,1.0,1.0,0.0,0.0,b'',7.4483776,1.92e-05,54970.693646,0.028858,0.15,80.0071,11.6613,15.178,5673.0,b'True',b'LC',b'TS',295.2977,46.9205
10026136,6630.0,519.0,6006.0,845.0,1.35e-11,1.98e-12,0.779,0.24,0.955,b'00000',b'1100',1.0,6724.0,5673.0,0.879,6561.0,6359.0,0.705,b'Simbad',297.17203,46.953949,1.0,1.0,1.0,0.0,0.0,b'',9.0801943,2.55e-05,54969.816256,0.049217,0.18,80.6508,10.548,15.163,6292.0,b'False',b'LC',b'TS',297.1718,46.954
10026457,5239.0,380.0,5154.0,618.0,1.71e-11,2.31e-12,0.793,0.26,0.987,b'00000',b'1100',1.0,5236.0,5109.0,0.731,5251.0,5214.0,0.848,b'Simbad',297.25931,46.989681,1.0,1.0,1.0,0.0,0.0,b'',9.9344232,2.91e-05,54965.87401,0.049947,0.19,80.7118,10.5129,15.39,5222.0,b'False',b'LC',b'TS',297.2591,46.9897
10031409,6207.0,368.0,6135.0,560.0,2.87e-11,3.03e-12,0.915,0.242,0.988,b'00000',b'1100',1.0,6161.0,6089.0,0.933,6253.0,6191.0,0.891,b'Simbad',298.68484,46.94997,1.0,1.0,1.0,0.0,0.0,b'',4.1438796,8.2e-06,54957.548369,0.027079,0.35,81.1591,9.6446,13.553,5905.0,b'False',b'LC',b'TS',298.6847,46.95
10031808,7511.0,350.0,5849.0,543.0,1.61e-10,1.72e-12,0.78,0.15,0.737,b'11001',b'1100',1.0,7520.0,5912.0,0.787,7504.0,5800.0,0.774,b'Simbad',298.79758,46.930244,1.0,1.0,1.0,0.0,0.0,b'',8.5896444,2.32e-05,54956.430326,0.057446,0.28,81.1804,9.568,9.557,,b'True',b'LC',b'TS',298.7974,46.9302
10063044,9459.0,383.0,3545.0,541.0,1.58e-11,1.9e-12,2.083,0.152,0.723,b'00000',b'1100',1.0,9619.0,3540.0,2.096,8638.0,5694.0,1.019,b'Simbad',286.29077,47.076221,1.0,1.0,1.0,1.0,0.0,b'',1.0096716,1.1e-06,54965.595585,0.026895,0.59,77.5281,17.315,13.918,7420.0,b'False',b'LC',b'TS',286.2906,47.0762
10090246,5842.0,353.0,3623.0,546.0,3.65e-11,2.69e-12,1.07,0.166,0.811,b'00000',b'1100',1.0,5843.0,3599.0,1.084,5814.0,4868.0,0.758,b'Simbad',297.21875,47.027512,1.0,1.0,1.0,1.0,0.0,b'',2.2861056,3.5e-06,54966.538752,0.082477,0.63,80.732,10.5554,13.567,5442.0,b'False',b'LC',b'TS',297.2184,47.0275
10091257,5908.0,358.0,5714.0,548.0,4.82e-11,4.32e-12,0.949,0.228,0.961,b'00000',b'1100',1.0,5907.0,5700.0,0.887,5910.0,5724.0,1.0,b'Simbad',297.50986,47.054489,1.0,1.0,1.0,0.0,0.0,b'',3.4038482,6.1e-06,54956.44498,0.019132,0.31,80.8533,10.3945,12.533,5630.0,b'True',b'LC',b'TS',297.5097,47.0545
10095469,6824.0,359.0,3721.0,549.0,2e-11,1.88e-12,0.947,0.171,0.695,b'00000',b'1110',2.0,6857.0,3622.0,1.069,6707.0,4576.0,0.61,b'Simbad',298.70587,47.034801,0.0,0.0,1.0,1.0,0.0,b'',0.6777628,1.3e-06,54999.865835,0.022526,0.6,81.241,9.6742,14.693,6261.0,b'False',b'LC',b'TS',298.7057,47.0348
10095512,6264.0,362.0,5214.0,552.0,4.07e-11,3.42e-12,0.725,0.232,0.824,b'00100',b'1110',2.0,6187.0,5122.0,0.67,6375.0,5322.0,0.864,b'Simbad',298.71655,47.014519,1.0,1.0,1.0,0.0,0.0,b'',6.0171939,1.39e-05,54953.888455,0.029813,0.24,81.2268,9.6579,13.053,5795.0,b'False',b'LC',b'TS',298.7163,47.0146
10119517,6564.0,350.0,6460.0,541.0,1.41e-10,3e-12,0.655,0.156,0.977,b'00001',b'1100',1.0,6576.0,6432.0,0.613,6543.0,6483.0,0.699,b'Simbad',281.48108,47.122681,1.0,1.0,1.0,1.0,0.0,b'',0.737494,7e-07,54954.000876,0.04074,0.95,76.397,20.4091,9.912,6225.0,b'True',b'LC',b'TS',281.4808,47.1227
10129482,4935.0,351.0,3647.0,545.0,1.86e-11,1.72e-12,0.636,0.175,0.726,b'00000',b'1110',2.0,4911.0,3626.0,0.668,4983.0,3666.0,0.683,b'Simbad',286.84036,47.173309,1.0,1.0,1.0,0.0,0.0,b'',0.8462906,8e-07,54965.192407,0.011756,0.48,77.7669,17.0033,15.994,4558.0,b'False',b'LC',b'TS',286.8401,47.1734
10149845,9695.0,469.0,5593.0,564.0,2.6e-11,1.89e-12,2.79,0.154,0.858,b'11000',b'1000',2.0,9695.0,5593.0,2.79,6365.0,5457.0,0.697,b'Simbad',295.0444,47.196415,0.0,0.0,1.0,1.0,0.0,b'',4.0563649,7.9e-06,55001.070605,0.236897,0.85,80.1765,11.9415,12.103,,b'False',b'LC',b'TS',295.0441,47.1965
10155080,6141.0,350.0,5485.0,541.0,3.96e-11,1.86e-12,0.72,0.158,0.89,b'00001',b'1100',1.0,6130.0,5444.0,0.668,6154.0,5522.0,0.764,b'Simbad',296.69858,47.137741,1.0,1.0,1.0,0.0,0.0,b'',3.8609029,7.4e-06,54957.048137,0.024597,0.29,80.6584,10.9192,13.017,5830.0,b'True',b'LC',b'TS',296.6983,47.1378
10156064,8855.0,369.0,7226.0,550.0,7.53e-11,4.13e-12,0.711,0.188,0.811,b'00001',b'1111',3.0,8842.0,7177.0,0.696,8863.0,7191.0,0.73,b'Simbad',296.99341,47.146648,1.0,1.0,1.0,0.0,0.0,b'',4.8559364,1.02e-05,54954.458136,0.033241,0.32,80.7636,10.7471,10.367,7424.0,b'True',b'LC',b'TS',296.9932,47.1466
10189523,5153.0,376.0,5265.0,626.0,1.46e-11,2.05e-12,0.751,0.237,1.023,b'00000',b'1100',1.0,5154.0,5316.0,0.71,5149.0,5173.0,0.815,b'Simbad',283.01196,47.238602,1.0,1.0,1.0,0.0,0.0,b'',1.0139159,1.1e-06,54965.418559,0.011138,0.48,76.8704,19.4614,15.856,5002.0,b'False',b'LC',b'TS',283.0118,47.2386
10191056,6676.0,388.0,6650.0,679.0,9.16e-11,1.15e-11,0.685,0.326,1.001,b'00100',b'1000',1.0,6676.0,6650.0,0.685,6384.0,6364.0,0.704,b'Simbad',283.8663,47.228271,1.0,1.0,1.0,1.0,0.0,b'',2.4274949,3.8e-06,54955.031469,0.034813,0.53,77.0657,18.9113,10.811,6588.0,b'True',b'LC',b'TS',283.8661,47.2283
10198109,6154.0,376.0,4463.0,645.0,3.14e-11,2.87e-12,0.88,0.225,0.44,b'00000',b'1110',2.0,6250.0,4549.0,1.013,6061.0,4215.0,0.728,b'Simbad',287.49353,47.224659,1.0,1.0,1.0,0.0,0.0,b'',17.9187428,6.73e-05,54979.392203,0.030471,0.07,77.9904,16.6111,13.776,5592.0,b'False',b'LC',b'TS',287.4933,47.2247
10206340,5844.0,353.0,3551.0,541.0,1.03e-10,4.91e-12,1.571,0.153,0.831,b'00000',b'1000',3.0,5844.0,3551.0,1.571,5763.0,4733.0,0.764,b'Simbad',291.24509,47.24926,1.0,1.0,1.0,1.0,0.0,b'',4.5644014,9.3e-06,54956.962646,0.136536,0.61,79.0656,14.2844,11.203,5213.0,b'True',b'LC',b'TS',291.2448,47.2493
10208759,7215.0,364.0,7044.0,559.0,1.86e-11,2.27e-12,0.902,0.231,0.977,b'00000',b'1100',1.0,7190.0,7028.0,0.861,7359.0,7120.0,0.944,b'Simbad',292.25565,47.286301,1.0,1.0,1.0,1.0,0.0,b'',4.5750306,9.5e-06,54967.647038,0.06015,0.51,79.3991,13.6786,13.99,6570.0,b'False',b'LC',b'TS',292.2555,47.2863
10215869,6825.0,376.0,4073.0,649.0,2.44e-11,2.01e-12,0.752,0.204,0.507,b'00000',b'1110',2.0,5652.0,5570.0,1.003,6824.0,3887.0,0.675,b'Simbad',294.92371,47.249989,0.0,0.0,1.0,0.0,0.0,b'',5.01727,5.71e-05,55002.598791,0.029864,0.24,80.1869,12.0388,14.115,6287.0,b'False',b'LC',b'TS',294.9235,47.25
10216186,7263.0,365.0,5277.0,598.0,2.54e-11,1.98e-12,0.604,0.188,0.725,b'00100',b'1110',2.0,7185.0,5215.0,0.537,7345.0,5308.0,0.614,b'Simbad',295.04037,47.22496,1.0,1.0,1.0,1.0,0.0,b'',0.605939,5e-07,54965.016594,0.028489,0.64,80.2011,11.957,13.77,6655.0,b'False',b'LC',b'TS',295.0401,47.225
