V1,V2,V3b,PapIV,KIC,HB,DV,Per,e_Per,BJD0,e_BJD0,Morph,GLON,GLAT,Kpmag,Teff,SC,LC,TS,Simbad,_RA.icrs,_DE.icrs
0.0,0.0,1.0,1.0,10417986,0.0,b'',0.0737309,0.0,55000.027476,0.004231,0.99,81.039,11.082,9.128,,b'True',b'LC',b'TS',b'Simbad',296.7485,47.5439
1.0,1.0,1.0,1.0,08912468,0.0,b'',0.094838,0.0,54953.576945,0.005326,0.98,80.1095,7.8882,11.751,6194.0,b'False',b'LC',b'TS',b'Simbad',300.1154,45.168
1.0,1.0,1.0,1.0,08758716,0.0,b'DV',0.1072049,0.0,54953.672989,0.006197,1.0,77.7478,11.6565,13.531,,b'False',b'LC',b'TS',b'Simbad',293.8517,44.9495
1.0,1.0,1.0,1.0,10855535,0.0,b'DV',0.1127824,0.0,54964.629315,0.006374,0.99,79.3949,15.9212,13.87,7555.0,b'False',b'LC',b'TS',b'Simbad',289.2115,48.2032
1.0,1.0,1.0,1.0,09472174,0.0,b'',0.1257653,1e-07,54953.643178,0.018318,0.78,79.0187,11.6745,12.264,10645.0,b'True',b'LC',b'TS',b'Simbad',294.6356,46.0665
1.0,1.0,1.0,1.0,09612468,0.0,b'',0.1334715,1e-07,54953.603803,0.007568,1.0,81.0112,8.5285,11.531,7202.0,b'False',b'LC',b'TS',b'Simbad',299.9819,46.2624
0.0,0.0,1.0,0.0,06613627,0.0,b'',0.1507996,1e-07,55115.344848,0.008552,0.98,75.1606,10.2517,12.548,7090.0,b'False',b'LC',b'TS',b'Simbad',293.9763,42.0483
0.0,0.0,1.0,0.0,05302006,0.0,b'',0.1511712,1e-07,54980.50904,0.007778,0.97,75.3495,6.6449,15.05,6536.0,b'False',b'LC',b'TS',b'Simbad',298.2988,40.4703
1.0,1.0,1.0,1.0,09898401,0.0,b'',0.1527742,1e-07,54964.733972,0.00881,0.99,79.6654,11.8375,12.073,7376.0,b'False',b'LC',b'TS',b'Simbad',294.8446,46.7042
1.0,1.0,1.0,1.0,07375612,0.0,b'DV',0.1600729,1e-07,54953.638704,0.008521,0.97,76.4714,9.6904,12.041,6682.0,b'False',b'LC',b'TS',b'Simbad',295.4668,42.9279
1.0,1.0,1.0,1.0,05872696,0.0,b'',0.1726132,1e-07,54953.79871,0.009822,0.99,73.2243,12.1282,11.854,,b'False',b'LC',b'TS',b'Simbad',290.5961,41.1856
0.0,1.0,1.0,0.0,07767774,0.0,b'',0.1733883,1e-07,55007.740259,0.009929,0.99,77.315,9.3041,12.511,,b'False',b'LC',b'TS',b'Simbad',296.4771,43.4748
0.0,0.0,1.0,1.0,12350008,0.0,b'',0.1845296,1e-07,55002.014438,0.007796,0.71,81.7612,18.1985,14.602,6108.0,b'False',b'LC',b'TS',b'Simbad',287.2596,51.1543
0.0,1.0,1.0,1.0,10684673,0.0,b'',0.1925563,1e-07,55026.598808,0.010851,1.0,81.9764,10.3016,11.125,7106.0,b'True',b'LC',b'TS',b'Simbad',298.4264,47.9743
0.0,0.0,1.0,1.0,09532219,0.0,b'',0.1981551,1e-07,55001.945386,0.011223,0.77,78.9874,11.9849,16.118,5031.0,b'False',b'LC',b'TS',b'Simbad',294.2166,46.1802
1.0,1.0,1.0,1.0,06699679,0.0,b'',0.2012033,1e-07,54953.612834,0.011484,1.0,75.3042,10.2256,11.574,,b'False',b'LC',b'TS',b'Simbad',294.0953,42.1616
1.0,1.0,1.0,1.0,06287172,0.0,b'',0.2038732,1e-07,54953.651911,0.010821,0.95,74.2716,11.0419,12.714,6646.0,b'False',b'LC',b'TS',b'Simbad',292.4985,41.6292
1.0,1.0,1.0,1.0,11825204,0.0,b'',0.2096356,1e-07,54964.746093,0.012214,0.98,83.3887,12.1048,13.797,7074.0,b'False',b'LC',b'TS',b'Simbad',297.0303,50.0558
1.0,1.0,1.0,1.0,04921906,0.0,b'',0.2137324,1e-07,54964.617446,0.011635,0.96,72.413,11.231,15.203,4800.0,b'False',b'LC',b'TS',b'Simbad',291.2034,40.0794
0.0,0.0,1.0,0.0,06387887,0.0,b'',0.2169003,8e-07,54999.968602,0.005585,0.58,76.4069,7.3539,17.037,10648.0,b'False',b'LC',b'TS',b'Simbad',298.1852,41.734
0.0,0.0,1.0,1.0,08288741,0.0,b'',0.2197664,1e-07,55000.119225,0.006874,0.64,75.1191,15.5587,14.499,5557.0,b'False',b'LC',b'TS',b'Simbad',287.3676,44.2733
1.0,1.0,1.0,1.0,12055255,0.0,b'',0.2209394,1e-07,54964.525184,0.01164,0.9,81.2592,17.7243,15.866,4093.0,b'False',b'LC',b'TS',b'Simbad',287.6869,50.5378
0.0,0.0,1.0,0.0,11013201,0.0,b'',0.2273937,1e-07,55001.990706,0.013106,0.98,77.9525,20.5223,9.275,7779.0,b'True',b'LC',b'TS',b'Simbad',282.0001,48.5423
1.0,1.0,1.0,1.0,08108785,0.0,b'',0.2288269,1e-07,54964.6407,0.012704,0.76,77.4115,10.0745,14.757,4354.0,b'False',b'LC',b'TS',b'Simbad',295.6031,43.9257
1.0,1.0,1.0,1.0,01572353,0.0,b'',0.2289313,1e-07,54964.674573,0.013123,0.91,69.7485,9.9451,15.234,4470.0,b'False',b'LC',b'TS',b'Simbad',291.1884,37.1617
1.0,1.0,1.0,1.0,10288502,0.0,b'',0.2301847,1e-07,54964.677419,0.013599,0.97,81.0008,10.8364,14.794,6116.0,b'False',b'LC',b'TS',b'Simbad',297.0416,47.394
0.0,0.0,1.0,1.0,09238207,0.0,b'',0.231353,2e-07,55001.966607,0.012257,0.75,79.9056,9.0882,15.61,4910.0,b'False',b'LC',b'TS',b'Simbad',298.4958,45.6001
1.0,1.0,1.0,1.0,05166136,0.0,b'',0.2339477,1e-07,54964.809081,0.013922,0.82,70.3939,16.2799,15.349,4986.0,b'False',b'LC',b'TS',b'Simbad',284.1177,40.3491
0.0,0.0,1.0,1.0,08555795,0.0,b'',0.2345234,1e-07,55000.099196,0.008403,0.63,76.3279,13.8353,15.919,5002.0,b'False',b'LC',b'TS',b'Simbad',290.2379,44.6484
1.0,1.0,1.0,1.0,06144827,0.0,b'',0.2346497,1e-07,54964.644135,0.013294,0.82,75.8604,7.7098,14.997,5217.0,b'False',b'LC',b'TS',b'Simbad',297.412,41.4412
1.0,1.0,1.0,1.0,10030943,0.0,b'',0.2357801,1e-07,54953.674633,0.012916,1.0,81.1019,9.7171,11.326,6704.0,b'True',b'LC',b'TS',b'Simbad',298.5515,46.9369
1.0,1.0,1.0,1.0,10965091,0.0,b'',0.2358555,1e-07,54964.696236,0.013589,0.76,78.7688,17.9309,15.28,4718.0,b'False',b'LC',b'TS',b'Simbad',286.0729,48.4014
1.0,1.0,1.0,1.0,02715417,0.0,b'',0.2364399,1e-07,54964.666158,0.013583,0.77,70.7256,9.7376,14.07,5189.0,b'False',b'LC',b'TS',b'Simbad',291.9689,37.9278
0.0,0.0,1.0,1.0,11413213,0.0,b'',0.2374665,2e-07,55002.094949,0.014974,0.87,82.5467,12.0281,15.861,4213.0,b'False',b'LC',b'TS',b'Simbad',296.5386,49.2925
1.0,1.0,1.0,1.0,09077796,0.0,b'',0.2380804,1e-07,54964.645249,0.010138,0.72,76.1139,16.4436,15.439,3516.0,b'False',b'LC',b'TS',b'Simbad',286.7324,45.4959
1.0,1.0,1.0,1.0,06050116,0.0,b'',0.2399081,1e-07,54964.708006,0.015182,0.79,74.5792,9.817,14.258,4569.0,b'False',b'LC',b'TS',b'Simbad',294.1378,41.3396
0.0,0.0,1.0,0.0,12458797,0.0,b'',0.2413212,2e-07,55182.791088,0.014134,0.94,82.7162,16.3581,13.895,4583.0,b'False',b'LC',b'TS',b'Simbad',290.5307,51.3086
1.0,1.0,1.0,1.0,06350020,0.0,b'',0.2417928,1e-07,54964.613787,0.012586,0.74,72.4528,15.0395,15.383,5592.0,b'False',b'LC',b'TS',b'Simbad',286.645,41.7034
0.0,0.0,1.0,1.0,07198474,0.0,b'',0.2423046,1e-07,55000.068173,0.037166,0.76,74.8344,12.3585,15.556,5759.0,b'False',b'LC',b'TS',b'Simbad',291.2315,42.704
1.0,1.0,1.0,1.0,07546791,0.0,b'',0.2423615,1e-07,54964.604015,0.014505,0.94,77.0974,8.9391,13.566,5038.0,b'False',b'LC',b'TS',b'Simbad',296.7735,43.1103
1.0,1.0,1.0,1.0,07871200,0.0,b'',0.2429038,1e-07,54953.67732,0.013169,0.75,73.2458,18.4483,12.799,4644.0,b'False',b'LC',b'TS',b'Simbad',282.718,43.6701
0.0,0.0,1.0,1.0,07959612,0.0,b'',0.2432138,2.6e-06,55000.095587,0.014191,0.81,75.9245,12.5288,16.889,5187.0,b'False',b'LC',b'TS',b'Simbad',291.654,43.7372
1.0,1.0,1.0,1.0,03972629,0.0,b'',0.2442402,1e-07,54964.812585,0.016796,0.85,73.1772,7.5111,14.931,5076.0,b'False',b'LC',b'TS',b'Simbad',295.9329,39.0249
1.0,1.0,1.0,1.0,09345163,0.0,b'',0.2451223,1e-07,54964.757218,0.014487,0.77,78.2595,12.6186,15.458,4799.0,b'False',b'LC',b'TS',b'Simbad',292.9433,45.8264
0.0,0.0,1.0,1.0,08816790,0.0,b'',0.2458562,1e-07,55001.99946,0.014076,0.79,76.9241,13.4819,13.693,6226.0,b'False',b'LC',b'TS',b'Simbad',291.0334,45.0257
1.0,0.0,1.0,1.0,12216817,0.0,b'',0.2462731,1e-07,55002.067959,0.014126,1.0,83.7802,13.1896,10.662,6681.0,b'True',b'LC',b'TS',b'Simbad',295.7962,50.896
1.0,1.0,1.0,1.0,11494583,0.0,b'',0.2483419,1e-07,54964.685201,0.015511,0.94,79.4133,19.3495,15.439,4385.0,b'False',b'LC',b'TS',b'Simbad',284.3672,49.4644
1.0,1.0,1.0,1.0,04738426,0.0,b'',0.2488352,1e-07,54964.659616,0.01452,0.96,71.5806,12.4784,15.335,6016.0,b'False',b'LC',b'TS',b'Simbad',289.2759,39.8837
1.0,1.0,1.0,1.0,08122124,0.0,b'DV',0.2492776,1e-07,54964.612833,0.01422,1.0,78.6563,7.9439,13.638,6250.0,b'False',b'LC',b'TS',b'Simbad',299.0193,43.9576
1.0,1.0,1.0,1.0,09032671,0.0,b'',0.2496079,1e-07,54953.798542,0.013539,0.7,78.6247,10.7845,12.982,4807.0,b'False',b'LC',b'TS',b'Simbad',295.5099,45.3125
0.0,0.0,1.0,1.0,05960283,0.0,b'',0.2496681,1e-07,55110.101764,0.014553,0.94,73.6866,11.3288,15.761,5308.0,b'False',b'LC',b'TS',b'Simbad',291.8149,41.2432
0.0,0.0,1.0,1.0,09412114,0.0,b'',0.2502522,2e-07,55001.893873,0.014397,0.86,79.0686,11.4142,15.226,5991.0,b'False',b'LC',b'TS',b'Simbad',295.001,45.9905
1.0,1.0,1.0,1.0,09004380,0.0,b'',0.2503325,1e-07,54964.60001,0.013059,0.97,75.3203,17.9996,14.238,6070.0,b'False',b'LC',b'TS',b'Simbad',284.2738,45.3593
0.0,0.0,1.0,1.0,04857282,0.0,b'',0.2507526,1e-07,54904.264881,0.013134,0.75,74.3908,7.1627,14.173,5456.0,b'False',b'LC',b'TS',b'Simbad',297.0897,39.9039
0.0,0.0,1.0,1.0,12602985,0.0,b'',0.2508689,2e-07,55002.090625,0.014561,0.88,83.1553,16.3159,15.152,4878.0,b'False',b'LC',b'TS',b'Simbad',290.8601,51.6791
1.0,1.0,1.0,1.0,11336707,0.0,b'',0.2512982,1e-07,54964.637372,0.015855,0.91,78.9481,19.5864,14.804,4751.0,b'False',b'LC',b'TS',b'Simbad',283.802,49.1288
1.0,1.0,1.0,1.0,12104285,0.0,b'',0.2514509,1e-07,54964.713694,0.016437,0.87,81.3791,17.8695,15.841,4658.0,b'False',b'LC',b'TS',b'Simbad',287.5392,50.6969
1.0,1.0,1.0,0.0,08367007,0.0,b'',0.251616,1e-07,54964.933977,0.014635,0.81,76.7335,12.3302,13.532,6239.0,b'False',b'LC',b'TS',b'Simbad',292.3824,44.3613
1.0,1.0,1.0,1.0,11769739,0.0,b'',0.2524728,1e-07,54964.659858,0.014623,0.77,82.6823,13.1342,15.033,5136.0,b'False',b'LC',b'TS',b'Simbad',295.1155,49.9174
1.0,1.0,1.0,1.0,04138301,0.0,b'',0.2533791,1e-07,54964.685221,0.015875,0.9,69.7502,14.8833,14.697,5132.0,b'False',b'LC',b'TS',b'Simbad',285.4866,39.2406
0.0,0.0,1.0,1.0,09478836,0.0,b'',0.2540637,1e-07,55002.132513,0.01185,0.71,79.7348,10.2589,15.218,4939.0,b'False',b'LC',b'TS',b'Simbad',296.912,46.0248
0.0,0.0,1.0,1.0,12508348,0.0,b'',0.2556047,1e-07,54951.660784,0.014908,0.97,82.7273,16.6052,13.428,8961.0,b'False',b'LC',b'TS',b'Simbad',290.1732,51.4151
1.0,1.0,1.0,1.0,05685072,0.0,b'',0.2559051,2e-07,54964.626512,0.01287,0.73,70.9453,16.663,13.187,4626.0,b'False',b'LC',b'TS',b'Simbad',283.9089,40.9825
